Nombre de la cuenta,Naturaleza ampliada,Libros contables relevantes,Descripción
Corresponsales (acreedor),Pasivo/Acreedor,Balance General,Corresponsales (acreedor)
Correo teléfono y telégrafo,Gasto/Deudor,Estado de Resultados,Correo teléfono y telégrafo
Cuentas malas,Gasto/Deudor,Estado de Resultados,Cuentas malas
Cuentas por pagar,Pasivo/Acreedor,Balance General,Cuentas por pagar
Cuentas por pagar comerciales,Pasivo/Acreedor,Balance General,Cuentas por pagar comerciales
Cuentas por pagar no comerciales,Pasivo/Acreedor,Balance General,Cuentas por pagar no comerciales
Cuotas laborales,Gasto/Deudor,Estado de Resultados,Cuotas laborales
Cuotas laborales por pagar,Pasivo/Acreedor,Balance General,Cuotas laborales por pagar
Cuotas patronales fábrica,Gasto/Deudor,Costo de Producción,Cuotas patronales fábrica
Cuotas patronales administración,Gasto/Deudor,Estado de Resultados,Cuotas patronales administración
Cuotas patronales sala de ventas,Gasto/Deudor,Estado de Resultados,Cuotas patronales sala de ventas
Cuotas patronales por pagar,Pasivo/Acreedor,Balance General,Cuotas patronales por pagar
Cuenta promesa,Activo/Deudor,Balance General,Cuenta promesa
Débito fiscal,Pasivo/Acreedor,Balance General,Débito fiscal
Depósitos en garantía,Activo/Deudor,Balance General,Depósitos en garantía
Depreciación fábrica,Gasto/Deudor,Costo de Producción,Depreciación fábrica
Depreciación administración,Gasto/Deudor,Estado de Resultados,Depreciación administración
Depreciación sala de ventas,Gasto/Deudor,Estado de Resultados,Depreciación sala de ventas
Depreciación construcción fábrica,Gasto/Deudor,Costo de Producción,Depreciación construcción fábrica
Depreciación construcción de oficina,Gasto/Deudor,Estado de Resultados,Depreciación construcción de oficina
Depreciación construcción de sala de ventas,Gasto/Deudor,Estado de Resultados,Depreciación construcción de sala de ventas
Depreciación edificios fábrica,Gasto/Deudor,Costo de Producción,Depreciación edificios fábrica
Depreciación edificios de oficina,Gasto/Deudor,Estado de Resultados,Depreciación edificios de oficina
Depreciación edificios de sala de ventas,Gasto/Deudor,Estado de Resultados,Depreciación edificios de sala de ventas
Depreciación inmuebles de fábrica,Gasto/Deudor,Costo de Producción,Depreciación inmuebles de fábrica
Depreciación inmuebles de oficina,Gasto/Deudor,Estado de Resultados,Depreciación inmuebles de oficina
Depreciación inmuebles de sala de ventas,Gasto/Deudor,Estado de Resultados,Depreciación inmuebles de sala de ventas
Depreciación herramientas de oficina,Gasto/Deudor,Estado de Resultados,Depreciación herramientas de oficina
Depreciación herramientas fábrica,Gasto/Deudor,Costo de Producción,Depreciación herramientas fábrica
Depreciación herramientas sala de ventas,Gasto/Deudor,Estado de Resultados,Depreciación herramientas sala de ventas
Depreciación maquinaria,Gasto/Deudor,Costo de Producción,Depreciación maquinaria
Mobiliario y equipo de oficina,Activo/Deudor,Balance General,Mobiliario y equipo de oficina
Depreciación cristalería,Gasto/Deudor,Estado de Resultados,Depreciación cristalería
Depreciación vehículos de reparto,Gasto/deudor,Costo de Distribución,Depreciación vehículos de reparto
Depreciación equipo de computación sala de ventas,Gasto/deudor,Estado de Resultados,Depreciación equipo de computación sala de ventas
Derecho de llave,Activo/deudor,Balance General,Representa un activo. Derecho de llave
Devoluciones y rebajas sobre ventas,Ingreso/acreedor,Estado de Resultados,Devoluciones y rebajas sobre ventas
Devoluciones y rebajas sobre compras,Gasto/deudor,Costo de Producción,Devoluciones y rebajas sobre compras
Devoluciones y rebajas sobre compras de materia prima,Gasto/deudor,Costo de Producción,Devoluciones y rebajas sobre compras de materia prima
Documentos por cobrar a corto plazo,Activo/deudor,Balance General,Representa un activo. Documentos por cobrar a corto plazo
Documentos por cobrar a largo plazo,Activo/deudor,Balance General,Representa un activo. Documentos por cobrar a largo plazo
Documentos por pagar a corto plazo,Pasivo/acreedor,Balance General,Documentos por pagar a corto plazo
Documentos por pagar a largo plazo,Pasivo/acreedor,Balance General,Documentos por pagar a largo plazo
Edificios,Activo/deudor,Balance General,Representa un activo. Edificios
Efectos por cobrar a corto plazo,Activo/deudor,Balance General,Representa un activo. Efectos por cobrar a corto plazo
Efectos por cobrar a largo plazo,Activo/deudor,Balance General,Representa un activo. Efectos por cobrar a largo plazo
Especies fiscales,Activo/Deudor,Balance General,Especies fiscales
Estimación para cuentas incobrables,Gasto/Deudor,Estado de Resultados,Estimación para cuentas incobrables
Estimación para cuentas malas,Gasto/Deudor,Estado de Resultados,Estimación para cuentas malas
Fletes sobre compras,Gasto/Deudor,Costo de Producción,Fletes sobre compras
Fletes sobre compras de materia prima,Gasto/Deudor,Costo de Producción,Fletes sobre compras de materia prima
Fórmulas patentadas,Activo Intangible/Deudor,Balance General,Fórmulas patentadas
Fuerza motriz,Gasto/Deudor,Costo de Producción,Fuerza motriz
Fuerza motriz fábrica,Gasto/Deudor,Costo de Producción,Fuerza motriz fábrica
Fuerza motriz sala de ventas,Gasto/Deudor,Estado de Resultados,Fuerza motriz sala de ventas
Fuerza motriz de oficina,Gasto/Deudor,Estado de Resultados,Fuerza motriz de oficina
Gastos de organización,Gasto/Deudor,Estado de Resultados,Gastos de organización
Gastos de constitución,Gasto/Deudor,Estado de Resultados,Gastos de constitución
Gastos de instalación,Gasto/Deudor,Estado de Resultados,Gastos de instalación
Gastos de instalación fábrica,Gasto/Deudor,Costo de Producción,Gastos de instalación fábrica
Gastos diversos fábrica,Gasto/Deudor,Costo de Producción,Gastos diversos fábrica
Gastos diversos administración,Gasto/Deudor,Estado de Resultados,Gastos diversos administración
Gastos diversos sala de ventas,Gasto/Deudor,Estado de Resultados,Gastos diversos sala de ventas
Gastos generales,Gasto/Deudor,Estado de Resultados,Gastos generales
Gastos misceláneos fábrica,Gasto/Deudor,Costo de Producción,Gastos misceláneos fábrica
Gastos misceláneos administración,Gasto/Deudor,Estado de Resultados,Gastos misceláneos administración
Gastos misceláneos sala de ventas,Gasto/Deudor,Estado de Resultados,Gastos misceláneos sala de ventas
Gastos publicitarios,Gasto/Deudor,Estado de Resultados,Gastos publicitarios
Gastos sobre compras,Gasto/Deudor,Costo de Producción,Gastos sobre compras
Gastos sobre compras de materia prima,Gasto/Deudor,Costo de Producción,Gastos sobre compras de materia prima
Grasas y aceites existencia,Activo/Deudor,Balance General,Grasas y aceites existencia
Grasas y aceites consumidos fábrica,Gasto/Deudor,Costo de Producción,Grasas y aceites consumidos fábrica
Grasas y aceites consumidos sala de ventas,Gasto/Deudor,Estado de Resultados,Grasas y aceites consumidos sala de ventas
Herramientas,Activo/Deudor,Balance General,Herramientas
Hipotecas,Pasivo/Acreedor,Balance General,Hipotecas
Hipotecas a corto plazo,Pasivo/Acreedor,Balance General,Hipotecas a corto plazo
Hipotecas a largo plazo,Pasivo a Largo Plazo/Acreedor,Balance General,Hipotecas a largo plazo
IGSS por pagar,Pasivo/Acreedor,Balance General,IGSS por pagar
IGSS laboral,Gasto/Deudor,Estado de Resultados,IGSS laboral
Impuestos aduanales sobre compras,Gasto/Deudor,Costo de Producción,Impuestos aduanales sobre compras
Impuestos aduanales sobre compras de materia prima,Gasto/Deudor,Costo de Producción,Impuestos aduanales sobre compras de materia prima
Impuestos y contribuciones de fábrica,Gasto/Deudor,Costo de Producción,Impuestos y contribuciones de fábrica
Impuestos y contribuciones de administración,Gasto/Deudor,Estado de Resultados,Impuestos y contribuciones de administración
Impuestos y contribuciones de sala de ventas,Gasto/Deudor,Estado de Resultados,Impuestos y contribuciones de sala de ventas
IUSI sala de ventas,Gasto/Deudor,Estado de Resultados,IUSI sala de ventas
IUSI administración,Gasto/Deudor,Estado de Resultados,IUSI administración
Impuestos y contribuciones por pagar,Pasivo/Acreedor,Balance General,Impuestos y contribuciones por pagar
ISR,Gasto/Perdida,Estado de Resultados,ISR
ISR por pagar,Pasivo/Acreedor,Balance General,ISR por pagar
ISR pagado por anticipado,Activo/Deudor,Balance General,ISR pagado por anticipado
ISO por acreditar,Activo/Deudor,Balance General,ISO por acreditar
ISO por pagar,Pasivo/Acreedor,Balance General,ISO por pagar
ISR retenido sobre facturas especiales,Pasivo/Acreedor,Balance General,ISR retenido sobre facturas especiales
ISR retenido sobre ganancias de capital,Pasivo/Acreedor,Balance General,ISR retenido sobre ganancias de capital
ISR retenido sobre ventas por acreditar,Activo/Deudor,Balance General,ISR retenido sobre ventas por acreditar
ISR retenido sobre pago de dividendos,Pasivo/Acreedor,Balance General,ISR retenido sobre pago de dividendos
ISR sobre ganancias de capital,Gasto/Deudor,Estado de Resultados,ISR sobre ganancias de capital
ISR trimestral,Gasto/Deudor,Estado de Resultados,ISR trimestral
Indemnización fábrica,Gasto/Deudor,Costo de Producción,Indemnización fábrica
Indemnización sala de ventas,Gasto/Deudor,Estado de Resultados,Indemnización sala de ventas
Indemnización administración,Gasto/Deudor,Estado de Resultados,Indemnización administración
Inmuebles,Activo/Deudor,Balance General,Inmuebles
Intereses gasto,Gasto/Deudor,Estado de Resultados,Intereses gasto
Intereses por cobrar,Activo/Deudor,Balance General,Intereses por cobrar
Intereses percibidos,Ingreso/Acreedor,Estado de Resultados,Intereses percibidos
Intereses no devengados,Activo/Deudor,Balance General,Intereses no devengados
Intereses pagados por anticipado,Activo/Deudor,Balance General,Intereses pagados por anticipado
Inversiones a corto plazo,Activo/Deudor,Balance General,Inversiones a corto plazo
Inversiones a largo plazo,Activo a Largo Plazo/Deudor,Balance General,Inversiones a largo plazo
Inversiones en valores,Activo/Deudor,Balance General,Inversiones en valores
Inversiones en bonos a corto plazo,Activo/Deudor,Balance General,Inversiones en bonos a corto plazo
Inversiones en bonos a largo plazo,Activo a Largo Plazo/Deudor,Balance General,Inversiones en bonos a largo plazo
IVA acreditable,Activo/Deudor,Balance General,IVA acreditable
IVA débito,Pasivo/Acreedor,Balance General,IVA débito
IVA por acreditar,Activo/Deudor,Balance General,IVA por acreditar
IVA por cobrar,Activo/Deudor,Balance General,IVA por cobrar
IVA retenido sobre facturas especiales,Pasivo/Acreedor,Balance General,IVA retenido sobre facturas especiales
IVA acreedor,Pasivo/Acreedor,Balance General,IVA acreedor
Mano de obra directa,Gasto/Deudor,Costo de Producción,Mano de obra directa
Marcas y patentes,Activo Intangible/Deudor,Balance General,Marcas y patentes
Materia prima,Activo/Deudor,Balance General y Costo de Producción,Materia prima
Materia prima estropeada,Pérdida/Deudor,Estado de Resultados,Materia prima estropeada
Materia prima inservible,Pérdida/Deudor,Estado de Resultados,Materia prima inservible
Materia prima en aduana,Activo/Deudor,Balance General,Materia prima en aduana
Materia prima en tránsito,Activo/Deudor,Balance General,Materia prima en tránsito
Material de empaque existencia,Activo/Deudor,Balance General,Material de empaque existencia
Material de empaque consumido,Gasto/Deudor,Costo de Producción,Material de empaque consumido
Material de empaque consumido fábrica,Gasto/Deudor,Costo de Producción,Material de empaque consumido fábrica
Mercaderías enviadas en consignación,Activo/Deudor,Balance General,Mercaderías enviadas en consignación
Mercaderías recibidas en consignación,Pasivo/Acreedor,Balance General,Mercaderías recibidas en consignación
Mercaderías,Activo/Deudor,Balance General,Mercaderías
Mercaderías en aduana,Activo/Deudor,Balance General,Mercaderías en aduana
Mobiliario y equipo,Activo/Deudor,Balance General,Mobiliario y equipo
Mercadería inservible,Pérdida/Deudor,Estado de Resultados,Mercadería inservible
Multas y recargos,Gasto/Deudor,Estado de Resultados,Multas y recargos
Papelería y útiles existencia,Activo/Deudor,Balance General,Papelería y útiles existencia
Papelería y útiles consumidos,Gasto/Deudor,Estado de Resultados,Papelería y útiles consumidos
Pérdidas acumuladas,Pérdida/Deudor,Balance General,Pérdidas acumuladas
Pérdida de capital,Pérdida/Deudor,Balance General,Pérdida de capital
Pérdida en negociación de activos,Pérdida/Deudor,Estado de Resultados,Pérdida en negociación de activos
Préstamos bancarios,Pasivo/Acreedor,Balance General,Préstamos bancarios
Préstamos bancarios a corto plazo,Pasivo/Acreedor,Balance General,Préstamos bancarios a corto plazo
Préstamos bancarios a largo plazo,Pasivo a Largo Plazo/Acreedor,Balance General,Préstamos bancarios a largo plazo
Primas de seguros,Gasto/Deudor,Estado de Resultados,Primas de seguros
Prima sobre acciones,Patrimonio/Acreedor,Balance General,Prima sobre acciones
Productos percibidos no devengados,Pasivo/Acreedor,Balance General,Productos percibidos no devengados
Productos por cobrar,Activo/Deudor,Balance General,Productos por cobrar
Propaganda,Gasto/Deudor,Estado de Resultados,Propaganda
Proveedores,Pasivo/Acreedor,Balance General,Proveedores
Proveeduría (existencia),Activo/Deudor,Balance General,Proveeduría (existencia)
Provisión para cuentas incobrables,Gasto/Deudor,Estado de Resultados,Provisión para cuentas incobrables
Publicidad,Gasto/Deudor,Estado de Resultados,Publicidad
Propaganda pagada por anticipado,Activo/Deudor,Balance General,Propaganda pagada por anticipado
Publicidad pagada por anticipado,Activo/Deudor,Balance General,Publicidad pagada por anticipado
Recuperación de créditos,Ingreso/Acreedor,Estado de Resultados,Recuperación de créditos
Regalías,Gasto/Deudor,Estado de Resultados,Regalías
Regalías percibidas,Ingreso/Acreedor,Estado de Resultados,Regalías percibidas
Renombre comercial,Activo Intangible/Deudor,Balance General,Renombre comercial
Reparación y mantenimiento maquinaria,Gasto/Deudor,Costo de Producción,Reparación y mantenimiento maquinaria
Repuestos y accesorios existencia,Activo/Deudor,Balance General,Repuestos y accesorios existencia
Repuestos y accesorios consumidos fábrica,Gasto/Deudor,Costo de Producción,Repuestos y accesorios consumidos fábrica
Seguros no vencidos,Activo/Deudor,Balance General,Seguros no vencidos
Seguros vencidos administración,Gasto/Deudor,Estado de Resultados,Seguros vencidos administración
Seguros vencidos sala de ventas,Gasto/Deudor,Estado de Resultados,Seguros vencidos sala de ventas
Socio X cuenta personal,Patrimonio/Acreedor,Balance General,Socio X cuenta personal
Socio X cuenta particular,Patrimonio/Acreedor,Balance General,Socio X cuenta particular
Socio X cuenta promesa,Activo/Deudor,Balance General,Socio X cuenta promesa
Socio X cuenta beneficios,Patrimonio/Acreedor,Balance General,Socio X cuenta beneficios
Sueldos socios,Gasto/Deudor,Estado de Resultados,Sueldos socios
Sueldos administración,Gasto/Deudor,Estado de Resultados,Sueldos administración
Sueldos por pagar,Pasivo/Acreedor,Balance General,Sueldos por pagar
Suministros existencia,Activo/Deudor,Balance General,Suministros existencia
Suministros consumidos de fábrica,Gasto/Deudor,Costo de Producción,Suministros consumidos de fábrica
Superávit acumulado,Patrimonio/Acreedor,Balance General,Superávit acumulado
Suscriptores de acciones,Pasivo/Acreedor,Balance General,Suscriptores de acciones
Superávit por revaluación de activos,Patrimonio/Acreedor,Balance General,Superávit por revaluación de activos
Terrenos,Activo/Deudor,Balance General,Terrenos
Timbre de prensa,Gasto/Deudor,Estado de Resultados,Timbre de prensa
Útiles y enseres existencia,Activo/Deudor,Balance General,Útiles y enseres existencia
Útiles y enseres consumidos,Gasto/Deudor,Estado de Resultados,Útiles y enseres consumidos
Utilidad del ejercicio,Ingreso/Acreedor,Estado de Resultados,Utilidad del ejercicio
Utilidades no distribuidas,Patrimonio/Acreedor,Balance General,Utilidades no distribuidas
Utilidades retenidas,Patrimonio/Acreedor,Balance General,Utilidades retenidas
Valores mobiliarios,Activo/Deudor,Balance General,Valores mobiliarios
Vehículos,Activo/Deudor,Balance General,Vehículos
Ventas por realizar,Ingreso/Acreedor,Estado de Resultados,Ventas por realizar
Viáticos,Gasto/Deudor,Estado de Resultados,Viáticos
